event_type,time
arrival,51.0
arrival,51.0
arrival,51.0
completion,51.0
completion,51.0
completion,51.0
completion,51.0
completion,51.0
failure,52.0
arrival,52.0
arrival,52.0
arrival,52.0
arrival,52.0
arrival,52.0
arrival,52.0
arrival,52.0
arrival,52.0
arrival,52.0
arrival,52.0
completion,52.0
completion,52.0
completion,52.0
completion,52.0
failure,53.0
arrival,53.0
arrival,53.0
arrival,53.0
arrival,53.0
arrival,53.0
arrival,53.0
arrival,53.0
arrival,53.0
completion,53.0
completion,53.0
completion,53.0
recovery,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
arrival,54.0
completion,54.0
completion,54.0
arrival,55.0
arrival,55.0
arrival,55.0
completion,55.0
completion,55.0
completion,55.0
completion,55.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
arrival,56.0
completion,56.0
completion,56.0
completion,56.0
completion,56.0
recovery,57.0
arrival,57.0
arrival,57.0
arrival,57.0
arrival,57.0
arrival,57.0
arrival,57.0
completion,57.0
completion,57.0
completion,57.0
completion,57.0
arrival,58.0
arrival,58.0
arrival,58.0
arrival,58.0
arrival,58.0
arrival,58.0
arrival,58.0
completion,58.0
completion,58.0
completion,58.0
completion,58.0
completion,58.0
arrival,59.0
arrival,59.0
arrival,59.0
arrival,59.0
arrival,59.0
arrival,59.0
arrival,59.0
arrival,59.0
arrival,59.0
completion,59.0
completion,59.0
completion,59.0
completion,59.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
arrival,60.0
completion,60.0
completion,60.0
completion,60.0
completion,60.0
completion,60.0
arrival,61.0
arrival,61.0
arrival,61.0
arrival,61.0
arrival,61.0
arrival,61.0
arrival,61.0
arrival,61.0
completion,61.0
