event_type,time
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
completion,91.0
completion,91.0
completion,91.0
recovery,92.0
arrival,92.0
arrival,92.0
arrival,92.0
arrival,92.0
arrival,92.0
arrival,92.0
completion,92.0
completion,92.0
completion,92.0
completion,92.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
completion,93.0
completion,93.0
completion,93.0
completion,93.0
failure,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
completion,94.0
completion,94.0
completion,94.0
completion,94.0
recovery,95.0
arrival,95.0
arrival,95.0
arrival,95.0
arrival,95.0
arrival,95.0
arrival,95.0
completion,95.0
completion,95.0
completion,95.0
completion,95.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
completion,96.0
completion,96.0
completion,96.0
completion,96.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
completion,97.0
completion,97.0
completion,97.0
completion,97.0
completion,97.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
completion,98.0
completion,98.0
completion,98.0
completion,98.0
completion,98.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
completion,99.0
completion,99.0
completion,99.0
completion,99.0
completion,99.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
completion,100.0
completion,100.0
completion,100.0
completion,100.0
completion,100.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
completion,101.0
completion,101.0
completion,101.0
completion,101.0
completion,101.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
completion,102.0
completion,102.0
completion,102.0
completion,102.0
completion,102.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
completion,103.0
completion,103.0
completion,103.0
completion,103.0
completion,103.0
failure,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
completion,104.0
completion,104.0
completion,104.0
completion,104.0
recovery,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
completion,105.0
completion,105.0
completion,105.0
completion,105.0
arrival,106.0
completion,106.0
completion,106.0
completion,106.0
completion,106.0
completion,106.0
failure,107.0
arrival,107.0
arrival,107.0
arrival,107.0
